_id,link,text,date,Likes,Comments,sentiment
6625947181aad1cc6b12a1f7,https://twitter.com/_NicoleNonya/status/1782115511230185584#m,"American Jew tries to frame non Jew for swastika as it's a hate crime, often, heavier sentence than if you murder someone. Imagine if this poor non Jew didn't have a camera. Welcome to the #Palestine experience.  #FreePalestine","Apr 21, 2024 · 6:33 PM UTC",106,8,Negative
6625947181aad1cc6b12a1f8,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782164343351914878#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:47 PM UTC",0,0,Neutral
6625947181aad1cc6b12a1f9,https://twitter.com/GadSharkawy/status/1782164328478634027#m,صورة فلسطين بأسماء مدنها بالعربية أنشروها حتى لا تنسى #فلسطين #فلسطين_حرة #Palestine,"Apr 21, 2024 · 9:47 PM UTC",0,0,Neutral
6625947181aad1cc6b12a1fa,https://twitter.com/Dzair_Tube/status/1782164313009987715#m,#Algeria #Algerie #الجزائر #Palestine #Morocco #المغرب #westernsahara #الصحراء_الغربية #Maroc #Saharaoccidental #USMA  Moroccan Club RS #Berkane Refuses to Face #USM Alger (Video) https://dzairt.com/n2lm,"Apr 21, 2024 · 9:47 PM UTC",0,0,Neutral
6625947181aad1cc6b12a1fb,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782164291732553741#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:47 PM UTC",0,0,Neutral
6625947181aad1cc6b12a1fc,https://twitter.com/MiddleEastEye/status/1781984062317416528#m,"🔴 UPDATE #Israel #Palestine   Israeli forces have killed at least 48 Palestinians and wounded 79 more over the past 24 hours in four ""massacres"", according to the Palestinian health ministry.  This brings the Palestinian death toll in over six months to more than 34,097  More here ⤵️ https://www.middleeasteye.net/live/israels-war-gaza-live-israel-pounds-rafah-overnight-strikes","Apr 21, 2024 · 9:51 AM UTC",64,4,Positive
6625947181aad1cc6b12a1fd,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782164255510532121#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:47 PM UTC",0,0,Neutral
6625947181aad1cc6b12a1fe,https://twitter.com/LETSSPEAK_/status/1782164240066818387#m,https://www.yeshyonas.com/yesh-yonas-blog/the-disarming-power-of-labels-antisemitic #blog #gaza #palestine #israelis #usa #genocide #antisemitic,"Apr 21, 2024 · 9:47 PM UTC",0,1,Neutral
6625947181aad1cc6b12a1ff,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782164221142421563#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:47 PM UTC",0,0,Neutral
6625947181aad1cc6b12a200,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782164185218240740#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:47 PM UTC",0,0,Neutral
6625947181aad1cc6b12a201,https://twitter.com/SobdarBaloch_/status/1782109127961190848#m,Do you support multi states  ✅#FreeBalochistan (from Iran & Pakistan) ✅ #FreeSindh (from Pakistan) ✅ #FreeKurdistan (From Iran) ✅ #FreeAlAhwaz  (From Iran) solutions for Iran and Pakistan like there are 2 state solution proposals for #Palestine.,"Apr 21, 2024 · 6:08 PM UTC",5,0,Neutral
6625947181aad1cc6b12a202,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782164150682329309#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:46 PM UTC",0,0,Neutral
6625947181aad1cc6b12a203,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782164112208011324#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:46 PM UTC",0,0,Neutral
6625947181aad1cc6b12a204,https://twitter.com/RickP5G/status/1782164105568145906#m,I guess people of #Isreal won’t touch #Palestine  flag anymore.,"Apr 21, 2024 · 9:46 PM UTC",0,0,Neutral
6625947181aad1cc6b12a205,https://twitter.com/AnxiousSquidler/status/1752242116422697327#m,FROM THE RIVER TO THE SEA  PALESTINE WILL BE FUCKING FREE  #CeasefireNOW #Cease_fire_In_Gaza_Now #Ceasefire_In_Gaza #CEASEFIRE_NOW #ceasefire_permanent #ceasefireNowPermanently #Gaza_Genocide #Gaza_under_attack #Palestine #FreePalestine #ceasefire #CeasefireInGazaNOW,"Jan 30, 2024 · 8:07 AM UTC",903,13,Positive
6625947181aad1cc6b12a206,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782164066255126564#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:46 PM UTC",0,0,Neutral
6625947181aad1cc6b12a207,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782164033346670872#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:46 PM UTC",0,0,Neutral
6625947181aad1cc6b12a208,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782163991185461634#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:46 PM UTC",0,0,Neutral
6625947181aad1cc6b12a209,https://twitter.com/TRENDGAZA1948/status/1782141237220299199#m,#ترند_غزة شيءٌ قليل مما يحدثُ كل دقيقة في غزّة  لطفك بهم يا الله  #غزة #Gaza #فلسطين #Palestine,"Apr 21, 2024 · 8:15 PM UTC",14,0,Neutral
6625947181aad1cc6b12a20a,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782163954145612112#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:46 PM UTC",0,0,Neutral
6625947181aad1cc6b12a20b,https://twitter.com/TurabDh/status/1782163948780884269#m,Evet İtrailin Türk 🇹🇷 kamuoyunda İran 🇮🇷 algı operasyonu bitti . Şimdi ise Filistin 🇵🇸  algı operasyonu başladı . Deli gibi Osmanlı ve arap ihaneti pompalamaya başladılar.Sorgulamadan her gördüğünüze inanmayın .Savaşın bir ayağıda sosyal medyada algı operasyonlarıdır. #Palestine,"Apr 21, 2024 · 9:46 PM UTC",0,0,Neutral
6625947181aad1cc6b12a20c,https://twitter.com/AlkhidmatOrg/status/1781763671481573377#m,Food packs are being prepared for Gazan families at the Alkhidmat Warehouse in Karachi. Every food pack is a symbol of your solidarity and care for oppressed Gazan families.  🤲Keep supporting Alkhidmat to help us save our Palestinian brothers and sisters in #Gaza.  #Palestine #Alkhidmat #AlkhidmatInPalestine,"Apr 20, 2024 · 7:15 PM UTC",98,2,Positive
6625947181aad1cc6b12a20d,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782163918976393474#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:46 PM UTC",0,0,Neutral
6625947181aad1cc6b12a20e,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782163885166084151#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:45 PM UTC",0,0,Neutral
6625947181aad1cc6b12a20f,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782163849384464864#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:45 PM UTC",0,0,Neutral
6625947181aad1cc6b12a210,https://twitter.com/tinathemelis/status/1723644049666568350#m,Now in #Athens Classic #Marathon raises #Palestine flag for world to see #Pame saves the day #Greece #Gaza,"Nov 12, 2023 · 10:08 AM UTC",66,25,Positive
6625947181aad1cc6b12a211,https://twitter.com/wRLMyxE7ZEr5CKr/status/1782163806661316851#m,שליטים וממשלות מתחילים במלחמות! כל האזרחים נגד מלחמה! המשאלה של כל האזרחים היא לאכול ארוחת ערב ביחד כמשפחה מדי יום. נגד מלחמה! נגד מלחמה! ! נגד מלחמה! ! ! #אוקראינה #רוסיה #פלסטין #עזה #ישראל #Ukraine #Russia #Palestine #Gaza #Israel ＃Iran,"Apr 21, 2024 · 9:45 PM UTC",0,0,Neutral
